scouting_rank,player_name,club_name,competition_name,country_name,age_at_season_end,position,minutes,goals,assists,goals_per90,assists_per90,market_value_in_eur,breakout_probability_pct
1,Troy Parrott,AZ Alkmaar,eredivisie,Netherlands,24,Attack,2206.0,16.0,5.0,0.653,0.204,25000000.0,96.47918561074871
2,Yarek Gasiorowski,PSV Eindhoven,eredivisie,Netherlands,21,Defender,2144.0,3.0,2.0,0.126,0.084,18000000.0,96.07153811171196
3,Samuel Dahl,SL Benfica,liga-portugal,Portugal,23,Defender,2863.0,1.0,1.0,0.031,0.031,13000000.0,94.73432610619145
4,Wouter Goes,AZ Alkmaar,eredivisie,Netherlands,22,Defender,2751.0,1.0,0.0,0.033,0.0,15000000.0,94.70068351055488
5,Mika Godts,Ajax Amsterdam,eredivisie,Netherlands,21,Attack,2686.0,17.0,12.0,0.57,0.402,35000000.0,94.67661653171007
6,Joaquin Seys,Club Brugge KV,jupiler-pro-league,Belgium,21,Defender,2115.0,1.0,3.0,0.043,0.128,20000000.0,94.18703906162789
7,Ahmetcan Kaplan,NEC Nijmegen,eredivisie,Netherlands,23,Defender,2046.0,1.0,0.0,0.044,0.0,7000000.0,94.1615890934471
8,Ryan Flamingo,PSV Eindhoven,eredivisie,Netherlands,24,Defender,1661.0,3.0,1.0,0.163,0.054,14000000.0,93.74888908852922
9,Ruud Nijstad,FC Twente Enschede,eredivisie,Netherlands,18,Defender,1675.0,1.0,1.0,0.054,0.054,10000000.0,93.6875480512567
10,Anis Hadj Moussa,Feyenoord Rotterdam,eredivisie,Netherlands,24,Attack,2554.0,11.0,6.0,0.388,0.211,23000000.0,93.68093904646656
11,Alan Varela,FC Porto,liga-portugal,Portugal,25,Midfield,2322.0,2.0,0.0,0.078,0.0,32000000.0,93.5875484816487
12,Kees Smit,AZ Alkmaar,eredivisie,Netherlands,20,Midfield,2139.0,3.0,3.0,0.126,0.126,25000000.0,93.45783981832083
13,Nathan De Cat,RSC Anderlecht,jupiler-pro-league,Belgium,18,Midfield,2262.0,2.0,4.0,0.08,0.159,27000000.0,93.43315049321534
14,Matte Smets,KRC Genk,jupiler-pro-league,Belgium,22,Defender,2700.0,0.0,1.0,0.0,0.033,10000000.0,93.40108932055409
