scouting_rank,player_name,club_name,competition_name,country_name,age_at_season_end,position,minutes,goals,assists,goals_per90,assists_per90,market_value_m,breakout_probability_pct
1,Ahmetcan Kaplan,NEC Nijmegen,eredivisie,Netherlands,23,Defender,2046.0,1.0,0.0,0.044,0.0,7.0,94.1615890934471
2,Ruud Nijstad,FC Twente Enschede,eredivisie,Netherlands,18,Defender,1675.0,1.0,1.0,0.054,0.054,10.0,93.6875480512567
3,Matte Smets,KRC Genk,jupiler-pro-league,Belgium,22,Defender,2700.0,0.0,1.0,0.0,0.033,10.0,93.40108932055408
4,Gjivai Zechiël,FC Utrecht,eredivisie,Netherlands,22,Midfield,2811.0,8.0,7.0,0.256,0.224,10.0,92.50432978367478
5,Mihajlo Cvetkovic,RSC Anderlecht,jupiler-pro-league,Belgium,19,Attack,1130.0,5.0,2.0,0.398,0.159,10.0,91.8460104900997
6,Bright Arrey-Mbi,SC Braga,liga-portugal,Portugal,23,Defender,1829.0,0.0,0.0,0.0,0.0,9.0,91.8225204750716
7,Matthieu Epolo,Standard Liège,jupiler-pro-league,Belgium,21,Goalkeeper,1890.0,0.0,0.0,0.0,0.0,8.0,91.40134576084482
8,Elijah Dijkstra,AZ Alkmaar,eredivisie,Netherlands,20,Defender,1272.0,0.0,0.0,0.0,0.0,6.0,90.48271676681064
9,Keisuke Goto,Sint-Truidense VV,jupiler-pro-league,Belgium,21,Attack,2081.0,10.0,5.0,0.432,0.216,10.0,90.42098150631232
10,Kyriani Sabbe,Club Brugge KV,jupiler-pro-league,Belgium,21,Defender,1510.0,2.0,3.0,0.119,0.179,8.0,89.85170979211303
11,Stije Resink,FC Groningen,eredivisie,Netherlands,23,Midfield,2090.0,5.0,5.0,0.215,0.215,7.0,89.5613529179235
12,Oliver Braude,SC Heerenveen,eredivisie,Netherlands,22,Defender,2820.0,0.0,5.0,0.0,0.16,5.0,89.15137180027794
13,Stav Lemkin,FC Twente Enschede,eredivisie,Netherlands,23,Defender,2040.0,0.0,1.0,0.0,0.044,6.0,88.79795288604426
14,Sami Ouaissa,NEC Nijmegen,eredivisie,Netherlands,22,Midfield,2644.0,6.0,7.0,0.204,0.238,8.0,88.6349732730077
15,Nathan-Dylan Saliba,RSC Anderlecht,jupiler-pro-league,Belgium,22,Midfield,1751.0,2.0,1.0,0.103,0.051,7.5,88.56581078539222
